,postid,Name,ExtractName,Address,Year,GPA400,GPA375,GPA350,GPA325,GPA300,GPA250,GPA200,GPA100,GPA000
305,11694,Indiana University-Purdue University-Indianapolis,Purdue University,"Ernest C. Young Hall, 155 S Grant St, West Lafayette, IN 47907, USA",2022-2023,12.71%,10.77%,4.02%,0.24%,0.07%,0.00%,0.00%,0.00%,0.00%
306,11695,Lesley University,Bradley University,"1501 W. Bradley Ave., Peoria, Illinois, 61625, United States",2023-2024,39.3%,20.4%,,,,,,,
307,11695,Lesley University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
308,11697,University of Colorado Denver,University of Colorado Denver | Anschutz Medical Campus,"P.O. Box 173364, Denver, Colorado 80217, USA",2021-2022,14.33%,18.84%,19.20%,18.11%,15.13%,12.58%,1.09%,0.15%,0.58%
309,11697,University of Colorado Denver,University of Denver,"2199 S. University Blvd., Denver, CO 80208 USA",2022-2023,0.00%,23.00%,17.00%,9.00%,5.00%,1.00%,0.00%,0.00%,0.00%
310,11829,University of Cincinnati-Main Campus,Unknown University,Unknown Address,2021-2022,29.59%,22.33%,18.68%,13.43%,9.20%,6.32%,0.41%,0.05%,0.00%
311,11829,University of Cincinnati-Main Campus,University of Cincinnati,"P.O. Box 210063, Cincinnati, Ohio, 45221, United States",2021-2022,24.66%,21.15%,21.26%,15.73%,10.50%,6.15%,0.53%,0.02%,0.00%
312,11830,University of Mississippi,Mississippi State University,"75 B.S. Hood Road, Mississippi State, Mississippi, 39762, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
313,11830,University of Mississippi,University of Southern Mississippi,"118 College Drive, Hattiesburg, Mississippi, 39406, USA",2023-2024,14.56%,21.58%,15.92%,14.21%,12.97%,14.03%,6.72%,0%,0%
314,11831,George Mason University,George Mason University,"4400 University Drive, MSN 2F2, Fairfax, Virginia, 22030-4444, United States",2023-2024,27.9%,22.5%,21.0%,17.9%,9.5%,1.1%,0.0%,0.0%,0.0%
315,11832,Oregon State University,Unknown University,Unknown Address,2021-2022,13.00%,34.00%,24.00%,14.00%,11.00%,4.00%,0.00%,0.00%,0.00%
316,11832,Oregon State University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
317,11833,Washington State University,Washington State University,"P.O. Box 641067, Pullman, WA 99164-1067 USA",2022-2023,3.96%,27.49%,23.81%,20.05%,14.06%,10.05%,0.58%,0.00%,0.00%
318,11834,Adelphi University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
319,11834,Adelphi University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
320,11835,Ohio University-Main Campus,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
321,11836,San Diego State University,San Diego State University,"5500 Campanile Drive, San Diego, CA 92182-7455",2022-2023,41.0%,29.5%,18.1%,7.8%,2.8%,0.8%,,,
322,11836,San Diego State University,San Diego State University,"5500 Campanile Drive, San Diego, CA 92182-7455",2021-2022,33.8%,31.5%,19.6%,9.6%,4.1%,1.25%,0.17%,,
323,11836,San Diego State University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
324,11837,Saint John Fisher College,St. John Fisher University,"3690 East Ave., Rochester, NY 14618",2023-2024,4.42%,31.42%,35.52%,10.31%,9.66%,7.69%,0.98%,0.00%,0.00%
325,11837,Saint John Fisher College,Bates College,"2 Andrews Road, Lewiston, Maine, 04240, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
326,11837,Saint John Fisher College,St. John's University,"8000 Utopia Parkway, Queens, NY 11439",2013-2014,22.00%,17.00%,18.00%,18.00%,16.00%,9.00%,0.00%,0.00%,0.00%
327,11837,Saint John Fisher College,Pace University,"One Pace Plaza, New York, NY 10038",2021-2022,28.82%,0.00%,23.03%,20.61%,18.71%,7.64%,1.19%,0.00%,0.00%
328,11838,SUNY at Albany,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
329,11838,SUNY at Albany,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
330,11838,SUNY at Albany,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
331,11838,SUNY at Albany,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
332,11850,University of Rhode Island,University of Rhode Island,"Kingston, RI 02881",2021-2022,18,17,31,14,13,6,1,0,0
333,11850,University of Rhode Island,University of Rhode Island,"Kingston, RI 02881",2019-2020,20%,16%,16%,17%,16%,15%,0%,0%,0%
334,11850,University of Rhode Island,Bates College,"2 Andrews Road, Lewiston, Maine, 04240, United States",2023-2024,7%,0%,0%,0%,0%,0%,0%,0%,0%
335,11850,University of Rhode Island,Bates College,"2 Andrews Road, Lewiston, Maine, 04240, United States",2023-2024,7%,0%,0%,0%,0%,0%,0%,0%,0%
336,11850,University of Rhode Island,Bates College,"2 Andrews Road, Lewiston, Maine, 04240, United States",2023-2024,7%,0%,0%,0%,0%,0%,0%,0%,0%
337,11851,University of South Florida-Main Campus,University of South Florida,"4202 E. Fowler Ave, Tampa, Florida, 33620, United States",2023-2024,80.3%,12.6%,5.2%,1.5%,0.3%,0.1%,,,
338,11851,University of South Florida-Main Campus,University of South Florida,"4202 E. Fowler Ave, Tampa, FL 33620",2021-2022,62.00%,18.00%,12.00%,7.00%,2.00%,0.00%,0.00%,0.00%,0.00%
339,11851,University of South Florida-Main Campus,University of South Florida,"4202 E. Fowler Ave, Tampa, FL 33620",2021-2022,61,16,13,7,2,0,0,0,0
340,11851,University of South Florida-Main Campus,University of South Florida,"4202 E. Fowler Ave, Tampa, FL 33620",2020-2021,55.00%,18.00%,14.00%,9.00%,3.00%,0.00%,0.00%,0.00%,0.00%
341,11852,Biola University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
342,11852,Biola University,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
343,11853,Maryville University of Saint Louis,Unknown University,Unknown Address,2021-2022,6,10,15,20,20,20,5,3,1
344,11853,Maryville University of Saint Louis,Maryville University of St. Louis,"650 Maryville University Drive, St. Louis, MO 63141 USA",2021-2022,27.43%,22.12%,17.88%,10.09%,9.20%,11.68%,1.59%,,
345,11853,Maryville University of Saint Louis,Maryville University of Saint Louis,"650 Maryville University Drive, St. Louis, MO 63141",2020-2021,3%,20%,22%,21%,17%,14%,3%,0%,0%
346,11853,Maryville University of Saint Louis,Washington University in St. Louis,"MSC 1089-105-05, One Brookings Drive, St. Louis, MO 63130-4899",2022-2023,67%,24%,6%,3%,,,,,
347,11853,Maryville University of Saint Louis,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
348,11853,Maryville University of Saint Louis,Lawrence University,"711 E. Boldt Way, Appleton, WI, 54911",2023-2024,23.90%,31.45%,19.81%,14.47%,6.60%,3.46%,0.31%,,
349,11853,Maryville University of Saint Louis,Lawrence University,"711 E. Boldt Way, Appleton, WI, 54911",2023-2024,23.90%,31.45%,19.81%,14.47%,6.60%,3.46%,0.31%,,
350,11854,Missouri University of Science and Technology,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
351,11854,Missouri University of Science and Technology,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
352,11854,Missouri University of Science and Technology,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
353,11855,St John's University (NY),Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
354,11855,St John's University (NY),Mississippi State University,"75 B.S. Hood Road, Mississippi State, Mississippi, 39762, United States",2023-2024,0.0%,10.0%,20.0%,20.0%,20.0%,20.0%,10.0%,0.0%,0.0%
355,11855,St John's University (NY),Mississippi State University,"75 B.S. Hood Road, Mississippi State, Mississippi, 39762, United States",2023-2024,10%,15%,20%,25%,15%,10%,5%,0%,0%
356,11856,Virginia Commonwealth University,Virginia Commonwealth University,"Richmond, VA 23284-2527",2022-2023,30.95%,17.49%,17.71%,15.68%,11.96%,6.06%,0.12%,0.02%,0.00%
357,11856,Virginia Commonwealth University,Pitzer College,"1050 N. Mills Avenue, Claremont, California, 91711, United States",2023-2024,45.5%,33.7%,17.5%,2.0%,0.4%,0.8%,0.0%,0.0%,0.0%
358,11856,Virginia Commonwealth University,Virginia Commonwealth University,"Richmond, Virginia, USA",2023-2024,20%,25%,30%,15%,5%,3%,1%,0.5%,0.5%
359,11857,Union University,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,7.0%,9.5%,12.5%,7.8%,8.9%,5.5%,0.2%,0.0%,0.0%
360,11858,University of Hawaii at Manoa,University of Hawai‘i at Manoa,"2500 Campus Road, Honolulu, HI 96822, USA",2023-2024,26.1%,,,,10.4%,,,,
361,11858,University of Hawaii at Manoa,University of Hawai‘i at Manoa,"2500 Campus Road, Honolulu, HI 96822, USA",2023-2024,26%,35%,16%,11%,9%,3%,0%,0%,0%
362,11858,University of Hawaii at Manoa,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
363,11858,University of Hawaii at Manoa,U.S. News Best Colleges,Not Provided,2023-2024,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
364,11858,University of Hawaii at Manoa,Northern Michigan University,"1401 Presque Isle Avenue, Marquette, Michigan, 49855, United States",2023-2024,14.1%,20.5%,14.5%,13.2%,10.6%,15.5%,9.5%,2.1%,0.0%
365,11871,The University of Texas at Dallas,The University of Texas at Dallas,"800 West Campbell Rd, Richardson, TX 75080-3021, USA",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
366,11872,Illinois State University,Illinois State University,"Normal, IL 61790",2022-2023,24.89%,17.05%,18.34%,14.88%,14.68%,9.89%,0.28%,0.00%,0.00%
367,11873,Immaculata University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
368,11874,Oklahoma State University-Main Campus,Mississippi State University,"75 B.S. Hood Road, Mississippi State, Mississippi, 39762, United States",2023-2024,0.0%,10.0%,20.0%,20.0%,20.0%,20.0%,10.0%,0.0%,0.0%
369,11875,University of California-Merced,Unknown University,Unknown Address,2021-2022,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
370,11875,University of California-Merced,"University of California, Merced","5200 North Lake Road, Merced, CA 95343",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
371,11875,University of California-Merced,"University of California, Merced","5200 North Lake Road, Merced, CA 95343",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
372,11876,University of Illinois at Chicago,University of Illinois at Chicago,"1200 West Harrison Street, Chicago, IL 60607",2021-2022,2.74%,17.57%,23.22%,23.45%,21.10%,11.80%,0.12%,0.00%,0.00%
373,11877,University of La Verne,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
374,11877,University of La Verne,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
375,11878,University of Massachusetts-Lowell,University of Massachusetts Lowell,"One University Avenue, Lowell, MA 01854-2882 USA",2023-2024,29.36%,17.67%,18.76%,16.14%,12.92%,5.05%,0.10%,0.00%,0.00%
376,11878,University of Massachusetts-Lowell,University of Massachusetts Amherst,"University Admissions Center, Amherst, Massachusetts",2023-2024,6,0,0,0,0,0,0,0,0
377,11879,Seattle Pacific University,Seattle Pacific University,"3307 3rd Ave. W., Seattle, WA 98119",2022-2023,10.22%,30.11%,22.12%,15.99%,11.15%,10.04%,0.37%,0.00%,0.00%
378,11879,Seattle Pacific University,"University of California, San Diego","9500 Gilman Drive, La Jolla, California, 92093, United States",2023-2024,23,23,23,23,23,23,23,23,23
379,11880,University of Alabama at Birmingham,The University of Alabama at Birmingham,"1720 2nd Avenue South, Birmingham, AL 35294",2022-2023,40.21%,18.22%,15.37%,10.15%,8.25%,7.43%,0.32%,0.00%,0.05%
380,11880,University of Alabama at Birmingham,The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,7.0%,9.5%,12.5%,7.8%,8.9%,5.5%,0.2%,0.0%,0.0%
381,13209,University of North Dakota,University of North Dakota,"3501 University Ave. STOP 8357, Grand Forks, North Dakota, 58202, United States",2023-2024,0%,0%,0%,0%,0%,0%,0%,0%,0%
382,13209,University of North Dakota,University of North Dakota,"3501 University Ave. STOP 8357, Grand Forks, ND 58202, USA",2022-2023,9.90%,32.60%,22.54%,13.40%,12.06%,9.03%,0.41%,0.06%,0.00%
383,13209,University of North Dakota,University of North Dakota,"3501 University Ave STOP 8357, Grand Forks ND 58202, USA",2021-2022,9.64%,31.51%,20.37%,14.77%,11.94%,10.73%,1.04%,0.00%,0.00%
384,13209,University of North Dakota,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,27.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
385,13209,University of North Dakota,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
386,13210,University of North Carolina at Charlotte,University of North Carolina at Chapel Hill,"Chapel Hill, NC",2023-2024,21.0%,25.0%,18.0%,15.0%,10.0%,7.0%,3.0%,1.0%,0.0%
387,13210,University of North Carolina at Charlotte,University of North Carolina at Chapel Hill,"Chapel Hill, NC 27599",2022-2023,95%,3%,1%,1%,0%,0%,0%,0%,0%
388,13211,New Mexico State University-Main Campus,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
389,13212,Rowan University,Rowan University,"201 Mullica Hill Road, Glassboro, New Jersey, 08028, USA",2023-2024,19.32%,11.74%,20.14%,12.76%,14.06%,20.53%,1.45%,0.00%,0.00%
390,13212,Rowan University,Rowan University,"201 Mullica Hill Road, Glassboro, NJ, 08028, USA",2021-2022,19.36%,12.15%,20.87%,14.34%,15.30%,17.02%,0.96%,0.00%,0.00%
391,13212,Rowan University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
392,13213,Nova Southeastern University,University of Miami,"1306 Stanford Drive, Suite 1210, Coral Gables, Florida, 33124, U.S.A.",2023-2024,0%,45%,23%,9%,2%,1%,0%,0%,0%
393,17437,Williams College,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
394,17977,Pomona College,Pomona College,"333 N College Way, Claremont, California, 91711, United States",2022-2023,0,0,0,0,0,0,0,0,0
395,17977,Pomona College,Unknown University,Unknown Address,2021-2022,39.04%,21.48%,15.84%,11.71%,0%,0%,0%,0%,0%
396,17977,Pomona College,Aquinas College,"Grand Rapids, Michigan, USA",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
397,17977,Pomona College,Pomona College,"333 N. College Way, Claremont, CA 91711",2023-2024,25%,30%,20%,15%,5%,3%,1%,0.5%,0.5%
398,18256,Amherst College,University of Massachusetts Amherst,"University Admissions Center, Amherst, Massachusetts",2023-2024,6,0,0,0,0,0,0,0,0
399,18265,Wellesley College,Wellesley College,"106 Central Street, Wellesley, MA 02481-8203, USA",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
400,18265,Wellesley College,Wellesley College,"106 Central Street, Wellesley, MA 02481-8203, USA",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
401,18265,Wellesley College,Wellesley College,"106 Central Street, Wellesley, Massachusetts, 02481, United States",2023-2024,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
402,18265,Wellesley College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
403,18265,Wellesley College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
404,18267,Swarthmore College,Swarthmore College,"500 College Avenue, Swarthmore, PA, 19081, United States",2023-2024,0,0,0,0,0,0,0,0,0
405,18267,Swarthmore College,Swarthmore College,"500 College Avenue, Swarthmore, PA 19081",2022-2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
406,18267,Swarthmore College,Swarthmore College,"500 College Avenue, Swarthmore, PA 19081",2000-2001,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available,Data not available
407,18269,Bowdoin College,Bowdoin College,"255 Maine Street, Brunswick, ME, 04011-8448, USA",2023-2024,100%,100%,100%,0%,0%,0%,0%,0%,0%
408,18269,Bowdoin College,Bowdoin College,"255 Maine Street, Brunswick, ME 04011-8448 USA",2022-2023,100%,,,,,,,,
409,18269,Bowdoin College,Bowdoin College,"255 Maine Street, Brunswick, ME 04011-8448 USA",2019-2020,63%,30%,7%,0%,0%,0%,0%,0%,0%
410,18298,Middlebury College,Middlebury College,"Middlebury, VT, USA",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
411,18298,Middlebury College,Middlebury College,"Middlebury, VT 05753",2020-2021,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
412,18298,Middlebury College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
413,18302,Davidson College,Davidson College,"209 Ridge Rd Box 5000, Davidson, North Carolina, 28035, United States",2023-2024,39.00,34.00,23.00,3.00,0.70,0.30,0.00,0.00,0.00
414,18302,Davidson College,Davidson College,"405 N Main St, Davidson, NC 28035, United States",2023-2024,27%,19%,20%,16%,10%,6%,2%,0%,0%
415,18302,Davidson College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
416,18303,Claremont McKenna College,Claremont McKenna College,"500 E 9th Street, Claremont, CA 91711",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
417,18303,Claremont McKenna College,Claremont McKenna College,"500 E 9th Street, Claremont, CA 91711",2023-2024,0.0%,0.0%,0.0%,0.0%,9.7%,0.0%,0.0%,0.0%,0.0%
418,18303,Claremont McKenna College,Claremont McKenna College,"500 E 9th Street, Claremont, CA 91711",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
419,18304,Carleton College,Carleton College,"1 North College Street, Northfield, MN 55057",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
420,18340,Washington and Lee University,Washington and Lee University,"204 W. Washington Street, Lexington, Virginia, 24450, United States",2023-2024,81.4%,98.2%,100.0%,33.3%,,,,,
421,18340,Washington and Lee University,Washington and Lee University,"204 W. Washington Street, Lexington VA 24450",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
422,18340,Washington and Lee University,Washington and Lee University,"204 W. Washington Street, Lexington VA 24450 USA",2020-2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,18342,Colby College,Colby College,"4000 Mayflower Hill, Waterville, ME, 04901, USA",2014-2015,61%,86%,96%,4%,0%,0%,0%,0%,0%
424,18343,Harvey Mudd College,Unknown College,Unknown Address,2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
425,18343,Harvey Mudd College,Fashion Institute of Technology,"227 West 27th Street, New York, New York, 10001 - 5992, United States",2023-2024,13.7%,25.2%,21.2%,17.0%,11.4%,7.4%,3.8%,0.3%,0.0%
426,18343,Harvey Mudd College,Harvey Mudd College,"301 Platt Blvd, Claremont, CA 91711",2020-2021,89%,9%,2%,,,,,,
427,18343,Harvey Mudd College,Pitzer College,"1050 N. Mills Avenue, Claremont, California, 91711, United States",2023-2024,45.5%,33.7%,17.5%,2.0%,0.4%,0.8%,0.0%,0.0%,0.0%
428,18344,Smith College,Smith College,"Elm Street, Northampton, MA, 01063, USA",2021-2022,79.3%,13.2%,7.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%
429,18344,Smith College,Smith College,"Elm Street, Northampton, MA, 01063, USA",2021-2022,74.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
430,18344,Smith College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
431,18347,Vassar College,Vassar College,"124 Raymond Avenue, Poughkeepsie, NY 12604",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
432,18364,Haverford College,Haverford College,"370 Lancaster Avenue, Haverford, Pennsylvania, 19041, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
433,18364,Haverford College,University of Miami,"1306 Stanford Drive, Suite 1210, Coral Gables, Florida, 33124, U.S.A.",2023-2024,0%,45%,23%,9%,2%,1%,0%,0%,0%
434,18365,Hamilton College,Hamilton College,"198 College Hill Rd, Clinton, NY 13323",2023-2024,78.85%,21.15%,0%,0%,0%,0%,0%,0%,0%
435,18365,Hamilton College,Hamilton College,"198 College Hill Rd, Clinton, NY 13323",2022-2023,100%,,,,,,,,
436,18365,Hamilton College,Hamilton College,"198 College Hill Rd, Clinton, NY 13323",2021-2022,21%,21%,21%,21%,21%,0%,0%,0%,0%
437,18365,Hamilton College,Hamilton College,"198 College Hill Road, Clinton, NY, 13323, USA",2020-2021,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
438,18366,Grinnell College,Grinnell College,"1227 Park Street, 1st Floor, Grinnell, IA 50112",2022-2023,,,,,,,,,
439,18366,Grinnell College,Grinnell College,"1227 Park Street, 1st Floor, Grinnell, IA 50112",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
440,18366,Grinnell College,Grinnell College,"1227 Park Street, 1st Floor, Grinnell, IA 50112",2020-2021,not available,not available,not available,not available,not available,not available,not available,not available,not available
441,18369,The United States Military Academy at West Point,United States Military Academy at West Point,"646 Swift Road, West Point, NY 10996",2022-2023,70.4%,10.7%,10.6%,4.5%,2.7%,0.6%,0.4%,0.1%,
442,18369,The United States Military Academy at West Point,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
443,18369,The United States Military Academy at West Point,United States Military Academy,"646 Swift Road, West Point, NY 10996",2020-2021,63.5%,15.7%,10.9%,4.2%,4.0%,1.4%,0.25%,0.08%,
444,18369,The United States Military Academy at West Point,Western New England University,"1215 Wilbraham Road, Springfield, MA, 01119",2023-2024,36.43%,10.69%,12.66%,12.10%,11.11%,11.95%,4.92%,0.14%,0.00%
445,18372,Colgate University,Unknown University,Unknown Address,2021-2022,30.54%,41.63%,20.81%,5.05%,1.60%,0.37%,,,
446,18372,Colgate University,Colgate University,"13 Oak Drive, Hamilton, NY 13346 USA",2021-2022,6%,11%,17%,19%,20%,23%,4%,0%,0%
447,18372,Colgate University,Colgate University,"13 Oak Drive, Hamilton, NY 13346 USA",2020-2021,15.71%,28.93%,29.45%,18.32%,5.63%,1.96%,,,
448,18372,Colgate University,Barton College,"PO Box 5000, Wilson, North Carolina, 27893, United States",2023-2024,2.10,16.40,19.60,14.90,15.70,21.70,7.50,,
449,18372,Colgate University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
450,21219,Macalester College,Macalester College,"1600 Grand Avenue, Saint Paul, Minnesota, 55105, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
451,21219,Macalester College,Macalester College,"1600 Grand Avenue, St. Paul, MN 55105",2021-2022,na,na,na,na,na,na,na,na,na
452,21220,Oberlin College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
453,21221,Scripps College,Scripps College,"1030 Columbia, Claremont, California, 91711, USA",2022-2023,,,,3%,1%,,,,
454,21221,Scripps College,Scripps College,"1030 Columbia Ave, Claremont, CA 91711 USA",2021-2022,96.7%,0.0%,0.0%,0.0%,2.1%,1.2%,0.0%,0.0%,0.0%
455,21221,Scripps College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
456,21221,Scripps College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
457,21223,Bryn Mawr College,Bryn Mawr College,"101 North Merion Ave, Bryn Mawr, PA 19010",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
458,21223,Bryn Mawr College,Bryn Mawr College,"101 North Merion Ave, Bryn Mawr, PA 19010",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
459,21223,Bryn Mawr College,Bryn Mawr College,"101 North Merion Ave, Bryn Mawr, PA 19010",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
460,21223,Bryn Mawr College,Unknown College,Unknown Address,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
461,21223,Bryn Mawr College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
