,postid,Name,ExtractName,Address,Year,GPA400,GPA375,GPA350,GPA325,GPA300,GPA250,GPA200,GPA100,GPA000
308,56360,Kalamazoo College,Kalamazoo College,"1200 Academy Street, Kalamazoo, MI 49006",2019-2020,31%,33%,22%,9%,4%,1%,0%,0%,0%
309,56360,Kalamazoo College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
310,56360,Kalamazoo College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
311,56360,Kalamazoo College,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
312,56361,Lewis & Clark College,Clark University,"950 Main Street, Worcester, Massachusetts, 01610-1477, United States",2023-2024,31%,24%,21%,13%,7%,4%,0%,0%,0%
313,56361,Lewis & Clark College,Lewis-Clark State College,"500 8th Ave, Lewiston, ID 83501, United States",2020-2021,3.00%,18.63%,17.34%,15.63%,10.06%,23.34%,10.06%,1.93%,0.00%
314,56361,Lewis & Clark College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
315,56361,Lewis & Clark College,Mississippi State University,"75 B.S. Hood Road, Mississippi State, Mississippi, 39762, United States",2023-2024,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
316,56362,Muhlenberg College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
317,56363,St. John's College (NM),St. John's University,"8000 Utopia Parkway, Queens, NY 11439",2017-2018,0%,26%,18%,20%,17%,13%,6%,0%,0%
318,56363,St. John's College (NM),Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,-,-
319,56363,St. John's College (NM),College of the Atlantic,"105 Eden St, Bar Harbor, ME 04609 USA",2022-2023,25,32,25,11,7,0,0,0,0
320,56363,St. John's College (NM),St. John Fisher University,"3690 East Ave., Rochester, NY 14618",2023-2024,4.42%,31.42%,35.52%,10.31%,9.66%,7.69%,0.98%,0.00%,0.00%
321,56364,Transylvania University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
322,56364,Transylvania University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
323,56364,Transylvania University,Unknown College,Unknown Address,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
324,56364,Transylvania University,Unknown College,Unknown Address,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
325,56365,Earlham College,Earlham College,"801 National Rd. West, Richmond, IN 47374",2021-2022,25.44%,20.71%,17.75%,11.24%,12.43%,8.88%,2.96%,0.59%,0.00%
326,56365,Earlham College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
327,56365,Earlham College,Barton College,"PO Box 5000, Wilson, North Carolina, 27893, United States",2023-2024,2.10,16.40,19.60,14.90,15.70,21.70,7.50,,
328,56365,Earlham College,Earlham College,"801 National Road West, Richmond, IN 47374",2014-2015,38.00%,25.00%,19.00%,11.00%,5.00%,2.00%,0.00%,0.00%,0.00%
329,56365,Earlham College,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,27.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
330,56365,Earlham College,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,21.0%,5.0%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%
331,56366,Illinois Wesleyan University,Wesleyan University,"45 Wyllys Avenue, Middletown, CT 06459",2022-2023,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
332,56366,Illinois Wesleyan University,Illinois Wesleyan University,"PO Box 2900, Bloomington, IL 61702-2900",2022-2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
333,56366,Illinois Wesleyan University,Illinois Wesleyan University,Not provided,2023-2024,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided
334,56366,Illinois Wesleyan University,Illinois Wesleyan University,"1312 Park Street, Bloomington, IL 61701",2023-2024,25%,30%,20%,10%,8%,5%,2%,0%,0%
335,56367,Virginia Military Institute,Virginia Military Institute,"VMI Office of Admissions, 319 Letcher Avenue, Lexington, Virginia, 24450, U.S.A.",2023-2024,27.1%,13.5%,18.2%,16.2%,11.8%,10.7%,2.4%,0.2%,0%
336,56367,Virginia Military Institute,Virginia Polytechnic Institute and State University,"800 Drillfield Drive, Blacksburg, Virginia, 24061, United States",2023-2024,72%,18%,9%,3%,2%,0.39%,0%,0%,0%
337,56368,Wofford College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
338,56368,Wofford College,Wofford College,"429 N. Church St., Spartanburg, SC 29303-3663",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
339,56368,Wofford College,Florida Polytechnic University,"4700 Research Way, Lakeland, Florida, 33805, United States",2023-2024,64.0%,13.0%,10.0%,8.0%,3.0%,1.0%,1.0%,0.0%,0.0%
340,56368,Wofford College,Florida Polytechnic University,"4700 Research Way, Lakeland, Florida, 33805, United States",2023-2024,64.0%,13.0%,10.0%,8.0%,3.0%,1.0%,1.0%,0.0%,0.0%
341,56369,Allegheny College,Unknown College,Unknown Address,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
342,56369,Allegheny College,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
343,56369,Allegheny College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
344,56369,Allegheny College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
345,56383,Beloit College,Beloit College,"700 College St, Beloit, WI 53511",2021-2022,4.5%,19.0%,16.6%,18.6%,15.2%,22.1%,3.4%,0.7%,0.0%
346,56383,Beloit College,Unknown College,Unknown Address,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
347,56383,Beloit College,Washington College,"300 Washington Ave, Chestertown, Maryland, 21620, United States",2023-2024,31.3%,21.3%,15.2%,11.7%,10.0%,7.8%,2.7%,,
348,56385,College of the Atlantic,College of the Atlantic,"105 Eden St, Bar Harbor, ME 04609 USA",2022-2023,25,32,25,11,7,0,0,0,0
349,56385,College of the Atlantic,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
350,56386,Juniata College,Juniata College,"1700 Moore St., Huntingdon, Pennsylvania, 16652, USA",2022-2023,0.00,0.00,0.00,11.49,11.82,7.77,0.68,0.00,0.00
351,56386,Juniata College,Juniata College,"1700 Moore St., Huntingdon, PA 16652, USA",2021-2022,41%,20%,16%,10%,8%,4%,1%,0%,0%
352,56386,Juniata College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
353,56386,Juniata College,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,27.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
354,56386,Juniata College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
355,56387,Ursinus College,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
356,56387,Ursinus College,San José State University,"One Washington Square, San Jose, California, 95192, United States",2023-2024,18.5%,19.5%,21.3%,17.1%,12.7%,10.2%,0.6%,0.0%,0.0%
357,56387,Ursinus College,San José State University,"One Washington Square, San Jose, California, 95192, United States",2023-2024,18.5%,19.5%,21.3%,17.1%,12.7%,10.2%,0.6%,0.0%,0.0%
358,56387,Ursinus College,San José State University,"One Washington Square, San Jose, California, 95192, United States",2023-2024,18.5%,19.5%,21.3%,17.1%,12.7%,10.2%,0.6%,0.0%,0.0%
359,56388,Wheaton College (MA),Wheaton College,"Wheaton, IL 60187, USA",2022-2023,N/A,N/A,N/A,6.90,4.70,1.80,0.00,0.00,0.00
360,56388,Wheaton College (MA),Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
361,56388,Wheaton College (MA),Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
362,56389,Bennington College,Bennington College,"One College Drive, Bennington, VT 05201 USA",2020-2021,5.36%,28.57%,22.32%,16.07%,17.86%,8.93%,0.90%,0.00%,0.00%
363,56389,Bennington College,Bennington College,"One College Drive, Bennington, VT 05201 USA",2021-2022,1.71%,27.35%,33.33%,19.66%,10.26%,6.84%,0.85%,,
364,56389,Bennington College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
365,56389,Bennington College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
366,56390,Gustavus Adolphus College,Gustavus Adolphus College,"800 College Avenue, Saint Peter, MN 56082",2022-2023,10.00%,42.00%,22.00%,15.00%,8.00%,3.00%,0.00%,0.00%,0.00%
367,56390,Gustavus Adolphus College,Gustavus Adolphus College,"800 College Avenue, Saint Peter, MN 56082",2021-2022,13.00%,43.00%,21.00%,13.00%,7.00%,3.00%,0.00%,0.00%,0.00%
368,56390,Gustavus Adolphus College,Gustavus Adolphus College,"800 West College Avenue, Saint Peter, MN 56082-1498",2019-2020,7.75%,37.47%,27.62%,16.47%,8.23%,2.26%,0.20%,0.00%,0.00%
369,56390,Gustavus Adolphus College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
370,56390,Gustavus Adolphus College,Gustavus Adolphus College,"800 College Avenue, Saint Peter, MN 56082",2020-2021,7.00%,42.00%,28.00%,13.00%,6.00%,4.00%,0.00%,0.00%,0.00%
371,56391,University of Puget Sound,University of Puget Sound,"1500 N. Warner Street, Tacoma, WA 98416 USA",2022-2023,7.13%,31.42%,28.68%,16.21%,8.73%,6.73%,0.50%,0.00%,0.00%
372,56391,University of Puget Sound,University of Puget Sound,"1500 N. Warner Street, Tacoma, WA 98416 USA",2020-2021,9.16%,30.03%,23.16%,19.59%,8.65%,9.41%,0.00%,0.00%,0.00%
373,56391,University of Puget Sound,University of Puget Sound,"1500 N. Warner Street, Tacoma, WA 98416 USA",2021-2022,5.67%,35.22%,21.18%,17.49%,11.33%,9.11%,,,
374,56391,University of Puget Sound,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
375,56391,University of Puget Sound,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
376,56392,Augustana College,Augustana College (IL),"639 38th Street, Rock Island, IL 61201, USA",2022-2023,3.00%,23.00%,19.00%,18.00%,15.00%,19.00%,2.00%,1.00%,
377,56392,Augustana College,Augustana College,"639 38th Street, Rock Island, IL 61201, USA",2020-2021,4.00%,16.00%,16.00%,23.00%,18.00%,19.00%,4.00%,0.00%,
378,56393,Hendrix College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
379,56393,Hendrix College,University of Miami,"1306 Stanford Drive, Suite 1210, Coral Gables, Florida, 33124, U.S.A.",2023-2024,0%,45%,23%,9%,2%,1%,0%,0%,0%
380,56393,Hendrix College,University of Miami,"1306 Stanford Drive, Suite 1210, Coral Gables, Florida, 33124, U.S.A.",2023-2024,0%,45%,23%,9%,2%,1%,0%,0%,0%
381,56406,Lake Forest College,Lake Forest College,"555 North Sheridan Road, Lake Forest, IL 60045 USA",2021-2022,28.54%,16.31%,22.06%,13.67%,15.59%,3.60%,0.23%,0.00%,0.00%
382,56406,Lake Forest College,Lake Forest College,"555 North Sheridan Road, Lake Forest, IL USA 60045",2018-2019,40.11%,20.83%,15.63%,13.02%,7.81%,2.60%,,,
383,56406,Lake Forest College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
384,56407,Ohio Wesleyan University,Ohio Wesleyan University,"61 S. Sandusky St, Delaware, OH 43015, United States",2023-2024,32.0,21.0,18.0,10.0,8.0,9.0,2.0,0.0,0.0
385,56407,Ohio Wesleyan University,Wesleyan University,"70 Wyllys Avenue, Middletown, CT 06459",2021-2022,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
386,56408,Southwestern University,Southwestern University,"1001 E. University Ave., Georgetown, TX 78626",2016-2017,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
387,56408,Southwestern University,Southwestern University,"1001 E. University Ave, Georgetown, Texas, 78626, United States",2023-2024,10.9%,25.6%,24.3%,15.1%,14.9%,7.9%,0.7%,0.5%,
388,56408,Southwestern University,Southwestern University,"P.O. Box 770, Georgetown, TX 78627-0770",2021-2022,9.2%,25.9%,23.6%,18.3%,13.5%,9.2%,0.2%,,
389,56408,Southwestern University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
390,56409,St. John's University (MN),St. John's University,"8000 Utopia Parkway, Queens, NY 11439",2017-2018,0.00%,26.00%,18.00%,20.00%,17.00%,13.00%,6.00%,0.00%,0.00%
391,56409,St. John's University (MN),Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
392,56409,St. John's University (MN),St. John Fisher University,"3690 East Ave., Rochester, NY 14618",2023-2024,4.42%,31.42%,35.52%,10.31%,9.66%,7.69%,0.98%,0.00%,0.00%
393,56409,St. John's University (MN),The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,12.1%,16.0%,23.7%,16.1%,19.1%,12.1%,1.0%,0.0%,0.0%
394,56409,St. John's University (MN),Mississippi State University,"75 B.S. Hood Road, Mississippi State, Mississippi, 39762, United States",2023-2024,10,20,30,15,10,10,5,0,0
395,56409,St. John's University (MN),The University of Texas Permian Basin,"4901 E University Blvd, Odessa, TX, 79762, USA",2023-2024,7.0%,9.5%,12.5%,7.8%,8.9%,5.5%,0.2%,0.0%,0.0%
396,56410,St. Mary's College of Maryland,Unknown College,Unknown Address,2021-2022,9.02%,23.17%,24.15%,18.54%,14.88%,8.54%,1.70%,0.00%,0.00%
397,56410,St. Mary's College of Maryland,Mount St. Mary's University,"16300 Old Emmitsburg Rd., Emmitsburg, MD 21727",2021-2022,10.00%,15.00%,20.00%,25.00%,20.00%,10.00%,0.00%,0.00%,0.00%
398,56411,Washington and Jefferson College,Washington College,"300 Washington Ave, Chestertown, Maryland, 21620, United States",2023-2024,31.3%,21.3%,15.2%,11.7%,10.0%,7.8%,2.7%,,
399,56412,Luther College,Luther College,"700 College Drive, Decorah, Iowa 52101",2023-2024,20%,25%,30%,15%,5%,3%,1%,0.5%,0.5%
400,56412,Luther College,Unknown,Unknown,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
401,56412,Luther College,Santa Clara University,"500 El Camino Real, Santa Clara, California, 95053, United States of America",2023-2024,15.00,45.00,7.00,11.00,4.00,1.00,0.00,0.00,0.00
402,56412,Luther College,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
403,56413,Principia College,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
404,56413,Principia College,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
405,57494,Santa Clara University,Santa Clara University,"500 El Camino Real, Santa Clara, CA 95053",2022-2023,9%,47%,29%,11%,3%,1%,-,-,-
406,57529,Loyola Marymount University,Loyola Marymount University,"1 LMU Drive, Los Angeles, CA 90045",2021-2022,42.92%,27.14%,19.44%,6.71%,3.23%,0.50%,0.06%,0.00%,0.00%
407,57529,Loyola Marymount University,Unknown University,Unknown Address,2021-2022,51.4%,23.4%,15.3%,6.7%,2.8%,0.4%,0.0%,0.0%,0.0%
408,57557,Gonzaga University,Gonzaga University,"502 E. Boone Ave, Spokane, WA 99258 USA",2021-2022,7.2%,42.8%,28.8%,15.9%,4.6%,0.6%,0.1%,0.0%,0.0%
409,57557,Gonzaga University,Texas Tech University,"Broadway and University Avenue, Box 45005, Lubbock, Texas, 79409",2023-2024,4.30,37.90,36.40,15.70,4.10,1.30,0.20,0.00,0.00
410,57557,Gonzaga University,Texas Tech University,"Broadway and University Avenue, Box 45005, Lubbock, Texas, 79409",2023-2024,4.30,37.90,36.40,15.70,4.10,1.30,0.20,0.00,0.00
411,57559,Creighton University,Unknown University,Unknown Address,2022-2023,37.00,67.00,93.00,0.00,0.00,0.00,0.00,0.00,0.00
412,57559,Creighton University,Unknown College or University,Unknown Address,2022-2023,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
413,57559,Creighton University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
414,57559,Creighton University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
415,57560,Chapman University,Chapman University,"1 University Drive, Orange, California, 92866, USA",2022-2023,0,0,0,0,0,0,0,0,0
416,57560,Chapman University,Chapman University,"1 University Drive, Orange, CA 92866",2021-2022,26%,63%,87%,13%,6%,0%,0%,0%,0%
417,57560,Chapman University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
418,57561,Simmons University,Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, PA 15213",2023-2024,48.9%,40.9%,7.2%,2.3%,0.4%,0.4%,0.0%,0.0%,0.0%
419,57561,Simmons University,Washington College,"300 Washington Ave, Chestertown, Maryland, 21620, United States",2023-2024,31.3%,21.3%,15.2%,11.7%,10.0%,7.8%,2.7%,,
420,57561,Simmons University,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
421,57561,Simmons University,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,27.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
422,57562,Drake University,Drake University,"2507 University Ave, Des Moines, IA 50311",2021-2022,35.00%,27.00%,16.00%,10.00%,7.00%,5.00%,3.71%,,
423,57562,Drake University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
424,57562,Drake University,Drake University,"2507 University Ave., Des Moines, IA 50311",2020-2021,0%,0%,0%,0%,8%,6%,0%,0%,0%
425,57562,Drake University,Drake University,"2507 University Ave., Des Moines, IA 50311",2020-2021,0%,0%,0%,0%,8%,6%,0%,0%,0%
426,57563,Seattle University,Unknown College,Unknown Address,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
427,57564,Samford University,Stanford University,"450 Jane Stanford Way, Stanford, CA 94305",2023-2024,75.2%,15.5%,5.8%,2.9%,0.7%,,,,
428,57564,Samford University,Mount Marty University,"1105 W 8th Street, Yankton, SD 57078",2023-2024,13%,22%,30%,13%,10%,11%,1%,0%,0%
429,57564,Samford University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
430,57564,Samford University,Unknown University,Unknown Address,2021-2022,42.60%,25.00%,15.10%,10.70%,4.40%,1.80%,0.40%,0.00%,0.00%
431,57564,Samford University,Unknown University,Unknown Address,2021-2022,42.60%,25.00%,15.10%,10.70%,4.40%,1.80%,0.40%,0.00%,0.00%
432,57565,Quinnipiac University,Quinnipiac University,"275 Mount Carmel Avenue, Hamden, CT 06518 USA",2021-2022,12.80%,21.88%,30.56%,13.00%,11.13%,9.44%,1.19%,0.00%,0.00%
433,57565,Quinnipiac University,Quinnipiac University,"275 Mount Carmel Avenue, Hamden, CT 06518 USA",2021-2022,0.96%,23.61%,27.09%,19.69%,12.46%,11.41%,3.22%,0.44%,1.13%
434,57565,Quinnipiac University,Quinnipiac University,"275 Mount Carmel Avenue, Hamden, CT 06518 USA",2020-2021,0.21%,21.93%,29.76%,19.18%,13.33%,11.92%,3.53%,0.14%,0.00%
435,57565,Quinnipiac University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
436,57566,University of St. Joseph,San José State University,"One Washington Square, San Jose, California, 95192, United States",2023-2024,18.5%,19.5%,21.3%,17.1%,12.7%,10.2%,0.6%,0.0%,0.0%
437,57566,University of St. Joseph,Williams College,"880 Main Street, Williamstown, Massachusetts, 01267, United States",2023-2024,72.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
438,57652,Valparaiso University,Valparaiso University,"1700 Chapel Drive, Valparaiso, IN 46383",2020-2021,32%,23%,21%,11%,9%,4%,0%,0%,0%
439,57652,Valparaiso University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
440,57652,Valparaiso University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
441,57652,Valparaiso University,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
442,57653,Thomas Jefferson University,Unknown College,Unknown Address,2023-2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
443,57653,Thomas Jefferson University,Jefferson College of Life Sciences,"1020 Locust Street Philadelphia, PA 19107-6799",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
444,57653,Thomas Jefferson University,Jefferson College of Life Sciences,"1020 Locust Street Philadelphia, PA 19107-6799",2023-2024,10%,20%,30%,15%,10%,10%,3%,1%,1%
445,57654,Rutgers University--Camden,Rutgers University - Camden,"406 Penn Street, Camden, New Jersey 08102 USA",2022-2023,0%,0%,0%,0%,0%,0%,0%,0%,0%
446,57654,Rutgers University--Camden,Rutgers University - New Brunswick,"65 Davidson Road, Room #202, Piscataway, NJ 08854-8097 USA",2022-2023,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
447,57654,Rutgers University--Camden,Rutgers University - Camden,"406 Penn Street, Camden, New Jersey 08102 USA",2021-2022,7%,35%,72%,28%,8%,,,,
448,57654,Rutgers University--Camden,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.07%,0.00%,0.00%
449,57654,Rutgers University--Camden,Harvard University,"86 Brattle Street, Cambridge, Massachusetts, 02138, United States",2023-2024,74.02%,19.67%,4.10%,1.07%,0.82%,0.25%,0.00%,0.07%,0.00%
450,57655,Belmont University,Belmont University,"1900 Belmont Blvd, Nashville, TN 37212",2022-2023,42.08%,21.90%,15.00%,10.77%,7.21%,2.77%,0.26%,0.00%,0.00%
451,57655,Belmont University,Belmont University,"1900 Belmont Blvd, Nashville, Tennessee, 37212, United States",2023-2024,43.0%,20.9%,14.9%,9.7%,7.4%,3.8%,0.2%,0.2%,0.0%
452,57655,Belmont University,Belmont University,"1900 Belmont Blvd, Nashville, TN 37212",2021-2022,39.77%,21.17%,14.61%,11.05%,7.49%,5.53%,0.38%,0.00%,0.00%
453,57656,Gallaudet University,Gallaudet University,"800 Florida Ave NE, Washington, DC 20002",2021-2022,8%,15%,15%,16%,16%,22%,8%,0%,0%
454,57656,Gallaudet University,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
455,57728,University of Detroit Mercy,University of Detroit Mercy,"4001 W. McNichols Rd, Detroit, MI, 48221, USA",2022-2023,22%,29%,20%,10%,9%,8%,2%,0%,0%
456,57728,University of Detroit Mercy,University of Detroit Mercy,"4001 W. McNichols Rd, Detroit, MI, 48221, USA",2021-2022,14%,19%,23%,15%,12%,12%,3%,2%,0%
457,57728,University of Detroit Mercy,University of Detroit Mercy,"4001 W. McNichols Rd, Detroit, MI, 48221, USA",2019-2020,23%,22%,21%,12%,11%,10%,1%,0%,0%
458,57729,University of North Carolina--Wilmington,University of North Carolina at Chapel Hill,"Chapel Hill, NC 27599",2022-2023,95%,3%,1%,1%,0%,0%,0%,0%,0%
459,57729,University of North Carolina--Wilmington,University of North Carolina at Chapel Hill,"Chapel Hill, NC",2023-2024,21.0,25.0,18.0,15.0,10.0,7.0,3.0,1.0,0.0
460,57729,University of North Carolina--Wilmington,Bates College,"2 Andrews Road, Lewiston, Maine, 04240, United States",2023-2024,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
461,57729,University of North Carolina--Wilmington,University of Utah,"201 Presidents Circle, Salt Lake City, Utah, 84112, United States",2023-2024,11.0%,39.0%,24.0%,17.0%,7.0%,2.0%,0.0%,0.0%,0.0%
462,57730,Chatham University,Chatham University,"107 Woodland Road, Pittsburgh, Pennsylvania, 15232, United States",2023-2024,37.7%,20.9%,16.5%,10.8%,6.0%,7.9%,0.3%,,
463,57730,Chatham University,Chatham University,"1 Woodland Road, Pittsburgh, PA 15232, USA",2021-2022,43.85%,21.23%,16.20%,9.22%,5.31%,3.35%,0.84%,,
464,57730,Chatham University,Chatham University,"1 Woodland Road, Pittsburgh, PA 15232, USA",2020-2021,33.34%,18.99%,20.54%,10.85%,8.14%,7.36%,0.78%,0.00%,0.00%
